Const_Id,Name,State,
TN3,Chennai South,Tamil Nadu,
TN4,Chennai Central,Tamil Nadu,
TN5,Sriperumbudur,Tamil Nadu,
TN6,Kancheepuram,Tamil Nadu,
TN7,Arakkonam,Tamil Nadu,
TN8,Vellore,Tamil Nadu,
TN9,Krishnagiri,Tamil Nadu,
TN10,Dharmapuri,Tamil Nadu,
TN11,Tiruvannamalai,Tamil Nadu,
TN12,Arani,Tamil Nadu,
TN13,Villupuram,Tamil Nadu,
TN14,Kallakurichi,Tamil Nadu,
TN15,Salem,Tamil Nadu,
TN16,Namakkal,Tamil Nadu,
TN17,Erode,Tamil Nadu,
TN18,Tiruppur,Tamil Nadu,
TN19,Nilgiris,Tamil Nadu,
TN20,Coimbatore,Tamil Nadu,
TN21,Pollachi,Tamil Nadu,
TN22,Dindigul,Tamil Nadu,
TN23,Karur,Tamil Nadu,
TN24,Tiruchirappalli,Tamil Nadu,
TN25,Perambalur,Tamil Nadu,
TN26,Cuddalore,Tamil Nadu,
TN27,Chidambaram,Tamil Nadu,
TN28,Mayiladuturai,Tamil Nadu,
TN29,Nagapattinam,Tamil Nadu,
TN30,Thanjavur,Tamil Nadu,
TN31,Sivaganga,Tamil Nadu,
TN32,Madurai,Tamil Nadu,
TN33,Theni,Tamil Nadu,
TN34,Virudhunagar,Tamil Nadu,
TN35,Ramanathapuram,Tamil Nadu,
TN36,Thoothukudi,Tamil Nadu,
TN37,Tenkasi,Tamil Nadu,
TN38,Tirunelveli,Tamil Nadu,
TN39,Kanyakumari,Tamil Nadu,
TS1,Adilabad,Telangana,
TS2,Peddapalle,Telangana,
TS3,Karimnagar,Telangana,
TS4,Nizamabad,Telangana,
TS5,Zahirabad,Telangana,
TS6,Medak,Telangana,
TS7,Malkajgiri,Telangana,
TS8,Secunderabad,Telangana,
TS9,Hyderabad,Telangana,
TS10,Chevella,Telangana,
TS11,Mahbubnagar,Telangana,
TS12,Nagarkurnool,Telangana,
TS13,Nalgonda,Telangana,
TS14,Bhongir,Telangana,
TS15,Warangal,Telangana,
TS16,Mahabubabad,Telangana,
TS17,Khammam,Telangana,
TR1,Tripura West,Tripura,
TR2,Tripura East,Tripura,
UP1,Saharanpur,Uttar Pradesh,
UP2,Kairana,Uttar Pradesh,
UP3,Muzaffarnagar,Uttar Pradesh,
UP4,Bijnor,Uttar Pradesh,
UP5,Nagina,Uttar Pradesh,
UP6,Moradabad,Uttar Pradesh,
UP7,Rampur,Uttar Pradesh,
UP8,Sambhal,Uttar Pradesh,
UP9,Amroha,Uttar Pradesh,
UP10,Meerut,Uttar Pradesh,
UP11,Baghpat,Uttar Pradesh,
UP12,Ghaziabad,Uttar Pradesh,
UP13,Gautam Buddha Nagar,Uttar Pradesh,
UP14,Bulandshahr,Uttar Pradesh,
UP15,Aligarh,Uttar Pradesh,
UP16,Hathras,Uttar Pradesh,
UP17,Mathura,Uttar Pradesh,
UP18,Agra,Uttar Pradesh,
UP19,Fatehpur Sikri,Uttar Pradesh,
UP20,Firozabad,Uttar Pradesh,
UP21,Mainpuri,Uttar Pradesh,
UP22,Etah,Uttar Pradesh,
UP23,Badaun,Uttar Pradesh,
