candid_id,const_id,State,Constituency,Name,Party
CD0001,,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Vishal Jolly,BJP
CD0002,,Andhra Pradesh,Amalapuram,AyyajiVema Manepalli,BJP
CD0003,,Andhra Pradesh,Anakapalli,Dr. Gandi Venkata Satyanarayana,BJP
CD0004,,Andhra Pradesh,Anantapur,Hamsa Devineni,BJP
CD0005,,Andhra Pradesh,Araku,K V V Satyanarayan Reddy,BJP
CD0006,,Andhra Pradesh,Bapatla,Dr. Challagali Kishore Kumar,BJP
CD0007,,Andhra Pradesh,Chittoor,Jayaram Duggani,BJP
CD0008,,Andhra Pradesh,Eluru,Chinnam Ramkotaya,BJP
CD0009,,Andhra Pradesh,Guntur,Valluru Jayaprakash Narayana,BJP
CD0010,,Andhra Pradesh,Hindupur,Pogala Venkata Parthasarthi,BJP
CD0011,,Andhra Pradesh,Kadapa,Singa Reddy Ramchandra Reddy,BJP
CD0012,,Andhra Pradesh,Kakinada,Yalla Venkata Ramamohana Rao (Dorababu),BJP
CD0013,,Andhra Pradesh,Kurnool,Dr. P V Parthasarthi,BJP
CD0014,,Andhra Pradesh,Machilipatnam,Gudivaka Ramanjaneyulu,BJP
CD0015,,Andhra Pradesh,Nandyal,Dr. AdinarayanaInti,BJP
CD0016,,Andhra Pradesh,Narasaraopet,Shri Kanna Lakshminarayana,BJP
CD0017,,Andhra Pradesh,Narsapuram,Paidikonda Manikyalarao,BJP
CD0018,,Andhra Pradesh,Nellore,Suresh Reddy Sannapareddy,BJP
CD0019,,Andhra Pradesh,Ongole,Thogunta Srinivas,BJP
CD0020,,Andhra Pradesh,Rajahmundry,Satya Gopinath dasparavasthu,BJP
CD0021,,Andhra Pradesh,Rajampet,Pappireddi Maheswara Reddy,BJP
CD0022,,Andhra Pradesh,Srikakulam,Perla Sambamurti,BJP
CD0023,,Andhra Pradesh,Tirupati,Bommi Sri Hari Rao,BJP
CD0024,,Andhra Pradesh,Vijayawada,Dilip Kumar Kilaru,BJP
CD0025,,Andhra Pradesh,Visakhapatnam,Shri D Purandeshwari,BJP
CD0026,,Andhra Pradesh,Vizianagaram,P Sanyasi Raju,BJP
CD0027,,Arunachal Pradesh,Arunachal East,Shri Tapir Gao,BJP
CD0028,,Arunachal Pradesh,Arunachal West,Shri Kiren Rijiju,BJP
CD0029,,Assam,Dibrugarh,Shri Rameswar Teli,BJP
CD0030,,Assam,Jorhat,Shri Tapan Gogai,BJP
CD0031,,Assam,Lakhimpur,Shri Pradan Baruah,BJP
CD0032,,Assam,Tezpur,Sjt. Pallab Lochan Das,BJP
CD0033,,Assam,Autonomous District,Shri Horensingh Bey,BJP
CD0034,,Assam,Karimganj,Shri Kripanath Mallah,BJP
CD0035,,Assam,Mangaldoi,Shri Dilip Saikia,BJP
CD0036,,Assam,Nowgong,Shri Rupak Sharma,BJP
CD0037,,Assam,Silchar,Dr Rajdeep Roy Bengali,BJP
CD0038,,Bihar,Araria,Pradeep Singh (BJP),BJP
CD0039,,Bihar,Arrah,Rajkumar Singh (BJP),BJP
CD0040,,Bihar,Begusarai,Giriraj Singh (BJP),BJP
CD0041,,Bihar,Buxar,Ashwini Kumar Choubey (BJP),BJP
CD0042,,Bihar,Darbhanga,Gopal Ji Thakur (BJP),BJP
CD0043,,Bihar,Madhubani,Ashok Kumar Yadav (BJP),BJP
CD0044,,Bihar,Maharajganj,Janardan Singh Sigriwal (BJP),BJP
CD0045,,Bihar,Muzaffarpur,Ajay Nishad (BJP),BJP
CD0046,,Bihar,Paschim Champaran,Dr. Sanjay Jaiswal (BJP),BJP
CD0047,,Bihar,Pataliputra,Ram Krapal Yadav (BJP),BJP
CD0048,,Bihar,Patna Sahib,Ravi Shankar Prasad (BJP),BJP
CD0049,,Bihar,Purvi Champaran,Radha Mohan Singh (BJP),BJP
CD0050,,Bihar,Saran,Rajiv Pratap Rudy (BJP),BJP
CD0051,,Bihar,Sasaram,Chedi Paswan (BJP),BJP
CD0052,,Bihar,Sheohar,Smt. Rama Devi (BJP),BJP
CD0053,,Bihar,Ujiarpur,Nityanand Rai (BJP),BJP
CD0054,,Bihar,Aurangabad,Susheel Kumar Singh (BJP),BJP
CD0055,,Chattisgarh,Bastar,Shri Baiduram Kashyap,BJP
CD0056,,Chattisgarh,Bilaspur,Shri Arun Saw,BJP
CD0057,,Chattisgarh,Durg,Shri Vijay Baghel,BJP
CD0058,,Chattisgarh,Janjgir-Champa,Shri Guharam Ajgale,BJP
CD0059,,Chattisgarh,Korba,Shri Jyoti Nand Dubey,BJP
CD0060,,Chattisgarh,Raigarh,Smt. Gomtee Sai,BJP
CD0061,,Chattisgarh,Raipur,Shri Sunil Soni,BJP
CD0062,,Chattisgarh,Surguja,Smt. Renuka Singh,BJP
CD0063,,Chattisgarh,Kanker,Shri Mohan Mandav,BJP
CD0064,,Chattisgarh,Mahasamund,Shri Chunnilal Sahu,BJP
CD0065,,Chattisgarh,Rajnandgaon,Shri Santosh Pandey,BJP
CD0066,,Dadra and Nagar Haveli,Dadra and Nagar Haveli,Shri Natubhai Gomanbhai Patel,BJP
CD0067,,Daman and Diu,Daman and Diu,Shri Lalubhai Patel,BJP
CD0068,,Goa,North Goa,Shri Shripad Yesso Naik,BJP
CD0069,,Goa,South Goa,Adv. Narendra Keshav Sawaikar,BJP
CD0070,,Gujarat,Ahmedabad East,Shri H.S. Patel,BJP
CD0071,,Gujarat,Ahmedabad West,Dr. Kirit Bhai Solanki,BJP
CD0072,,Gujarat,Amreli,Shri Naran Bhai Kchhadia,BJP
CD0073,,Gujarat,Anand,Shri Miteshbhai Patel (Bakabhai),BJP
CD0074,,Gujarat,Banaskantha,Shri Parbat Bhai Patel,BJP
CD0075,,Gujarat,Bardoli,Shri Parbhu Bhai Vasava,BJP
CD0076,,Gujarat,Bharuch,Shri Mansukh Bhai Vasava,BJP
CD0077,,Gujarat,Bhavnagar,Dr. Mrs. Bharati Ben Shiyal,BJP
CD0078,,Gujarat,Chhota Udaipur,Mrs. Geetaben Rathva,BJP
CD0079,,Gujarat,Dahod,Shri Jashvant Sinh Bhabhor,BJP
CD0080,,Gujarat,Gandhinagar,Shri Amit Anit Chandra Shah,BJP
CD0081,,Gujarat,Jamnagar,Mrs. Punamben Madam,BJP
CD0082,,Gujarat,Junagadh,Shri Rajeshbhai Chudasma,BJP
CD0083,,Gujarat,Kachahh,Shri Vinod Bhai Chavda,BJP
CD0084,,Gujarat,Kheda,Shri Devusinh Chauhan,BJP
CD0085,,Gujarat,Mahesana,Mrs. Sharda Ben Patel W/O Late Shri Anil Bhai Patel (Former Minister),BJP
CD0086,,Gujarat,Navsari,Shri C.R. Patil,BJP
CD0087,,Gujarat,Panchmahal,Shri Ratan Singh,BJP
CD0088,,Gujarat,Patan,Shri Bharatsinh Dabhi Thakor,BJP
CD0089,,Gujarat,Porbandar,Shri Ramesh Dhaduk,BJP
CD0090,,Gujarat,Rajkot,Shri Mohan Bhai Kundariya,BJP
CD0091,,Gujarat,Sabarkantha,Shri Dipsinh Radhod,BJP
CD0092,,Gujarat,Surat,Smt. Darshana Jardosh,BJP
CD0093,,Gujarat,Surendranagar,Dr. Mahendra Bhai Munjpara,BJP
CD0094,,Gujarat,Vadodara,Mrs. Ranjan Ben Bhatt,BJP
CD0095,,Gujarat,Valsad,Dr. K.C. Patel,BJP
CD0096,,Haryana,Ambala,Shri Ratan Lal Katariya,BJP
CD0097,,Haryana,Bhiwani-Mahendragarh,Shri Dharmvir Singh,BJP
CD0098,,Haryana,Faridabad,Shri Krisnpal Gurjar,BJP
CD0099,,Haryana,Gurgaon,Shri Rao Indrajeet Singh,BJP
CD0100,,Haryana,Hisar,Brijendra Singh,BJP
CD0101,,Haryana,Karnal,Shri Sanjay Bhatiya,BJP
CD0102,,Haryana,Kurukshetra,Shri Nayab Singh Saini,BJP
CD0103,,Haryana,Rohtak,Arvind Sharma,BJP
CD0104,,Haryana,Sirsa,Smt Suneeta Duggal,BJP
CD0105,,Haryana,Sonipat,Shri Ramesh Chandra Kaushik,BJP
CD0106,,Himachal Pradesh,Hamirpur,Shri Anurag Thakur,BJP
CD0107,,Himachal Pradesh,Kangra,Shri Kishan Kapoor,BJP
CD0108,,Himachal Pradesh,Mandi,Shri Ramswroop Sharma,BJP
CD0109,,Himachal Pradesh,Shimla,Shri Suresh Kashyap,BJP
CD0110,,Jammu and Kashmir,Baramulla,Shri M M War,BJP
CD0111,,Jammu and Kashmir,Anantnag,Shri Sofi Youssaf,BJP
CD0112,,Jammu and Kashmir,Jammu,Shri Jugal Kishore Sharma,BJP
CD0113,,Jammu and Kashmir,Ladakh,Shri Jamyang Tsering Namgyal,BJP
CD0114,,Jammu and Kashmir,Srinagar,Shri Khalid Jahangir,BJP
CD0115,,Jammu and Kashmir,Udhampur,Dr. Jitendra Singh,BJP
